Interaction ID,Gene A ID,Gene A name,Gene B ID,Gene B name
10432,9627,SNCAIP,6622,SNCA
280842,9627,SNCAIP,6622,SNCA
283184,4137,MAPT,6622,SNCA
283185,6622,SNCA,4137,MAPT
288274,6622,SNCA,9627,SNCAIP
288275,6622,SNCA,9627,SNCAIP
288276,9627,SNCAIP,6622,SNCA
301298,5071,PARK2,6622,SNCA
301299,6622,SNCA,5071,PARK2
317319,5071,PARK2,9627,SNCAIP
317321,9627,SNCAIP,5071,PARK2
317322,5071,PARK2,9627,SNCAIP
330465,4137,MAPT,5071,PARK2
330700,6622,SNCA,5071,PARK2
445178,5071,PARK2,6622,SNCA
445773,120892,LRRK2,5071,PARK2
445774,5071,PARK2,120892,LRRK2
448998,6622,SNCA,9627,SNCAIP
448999,6622,SNCA,9627,SNCAIP
449006,6622,SNCA,120892,LRRK2
449007,120892,LRRK2,6622,SNCA
464273,5071,PARK2,9627,SNCAIP
467746,6622,SNCA,9627,SNCAIP
467749,9627,SNCAIP,6622,SNCA
467750,9627,SNCAIP,5071,PARK2
471161,11315,PARK7,5071,PARK2
471162,5071,PARK2,11315,PARK7
483245,4137,MAPT,5071,PARK2
521672,5071,PARK2,11315,PARK7
521673,11315,PARK7,5071,PARK2
521674,5071,PARK2,11315,PARK7
545403,5071,PARK2,27429,HTRA2
555996,65018,PINK1,5071,PARK2
555997,65018,PINK1,5071,PARK2
565990,9627,SNCAIP,5071,PARK2
608393,2629,GBA,5071,PARK2
608394,5071,PARK2,2629,GBA
615930,5071,PARK2,9627,SNCAIP
679703,5071,PARK2,9627,SNCAIP
680701,9627,SNCAIP,5071,PARK2
682534,6622,SNCA,5071,PARK2
715405,9627,SNCAIP,6622,SNCA
715406,9627,SNCAIP,5071,PARK2
715407,9627,SNCAIP,65018,PINK1
718423,5071,PARK2,65018,PINK1
719548,9627,SNCAIP,6622,SNCA
720197,5071,PARK2,65018,PINK1
720198,65018,PINK1,6622,SNCA
720199,5071,PARK2,65018,PINK1
720200,65018,PINK1,6622,SNCA
722861,120892,LRRK2,4137,MAPT
722863,120892,LRRK2,4137,MAPT
724181,11315,PARK7,65018,PINK1
724182,65018,PINK1,11315,PARK7
724190,9627,SNCAIP,6622,SNCA
724191,6622,SNCA,9627,SNCAIP
725489,27429,HTRA2,65018,PINK1
725490,65018,PINK1,27429,HTRA2
725766,4137,MAPT,6622,SNCA
727251,5071,PARK2,65018,PINK1
727252,5071,PARK2,11315,PARK7
727253,65018,PINK1,5071,PARK2
727254,65018,PINK1,11315,PARK7
727255,11315,PARK7,5071,PARK2
727256,11315,PARK7,65018,PINK1
727257,5071,PARK2,11315,PARK7
727258,5071,PARK2,65018,PINK1
727259,11315,PARK7,5071,PARK2
727260,11315,PARK7,65018,PINK1
728535,65018,PINK1,5071,PARK2
728538,5071,PARK2,65018,PINK1
734855,65018,PINK1,5071,PARK2
734856,5071,PARK2,65018,PINK1
734857,65018,PINK1,5071,PARK2
734863,5071,PARK2,65018,PINK1
735167,5071,PARK2,6622,SNCA
735194,11315,PARK7,6622,SNCA
735195,6622,SNCA,11315,PARK7
735962,4137,MAPT,6622,SNCA
736294,4137,MAPT,6622,SNCA
736575,5071,PARK2,6622,SNCA
736894,6622,SNCA,2629,GBA
736895,6622,SNCA,2629,GBA
736928,4137,MAPT,6622,SNCA
815295,5071,PARK2,65018,PINK1
827247,27429,HTRA2,1981,EIF4G1
827260,27429,HTRA2,1981,EIF4G1
856169,6622,SNCA,11315,PARK7
872411,5071,PARK2,65018,PINK1
886710,5071,PARK2,25793,FBXO7
886711,5071,PARK2,25793,FBXO7
886712,25793,FBXO7,65018,PINK1
886713,25793,FBXO7,65018,PINK1
886714,25793,FBXO7,5071,PARK2
1050664,5071,PARK2,7345,UCHL1
1050768,5071,PARK2,11315,PARK7
1050769,11315,PARK7,5071,PARK2
1055083,7345,UCHL1,5071,PARK2
1055084,5071,PARK2,7345,UCHL1
1055085,5071,PARK2,7345,UCHL1
1056625,65018,PINK1,5071,PARK2
1059737,65018,PINK1,5071,PARK2
1254053,2629,GBA,6622,SNCA
1417196,65018,PINK1,5071,PARK2
1417207,65018,PINK1,5071,PARK2
1504192,6622,SNCA,5071,PARK2
1504193,6622,SNCA,9627,SNCAIP
1512309,65018,PINK1,5071,PARK2
1520816,65018,PINK1,5071,PARK2
1528305,65018,PINK1,5071,PARK2
1528306,5071,PARK2,65018,PINK1
2208651,65018,PINK1,6622,SNCA
2208652,6622,SNCA,65018,PINK1
2376089,6622,SNCA,9627,SNCAIP
2380268,5071,PARK2,65018,PINK1
2446778,65018,PINK1,5071,PARK2
2446794,65018,PINK1,5071,PARK2
2461222,25793,FBXO7,1981,EIF4G1
2461312,25793,FBXO7,51142,CHCHD2
2570481,5071,PARK2,65018,PINK1
2570482,65018,PINK1,5071,PARK2
2596585,5071,PARK2,55737,VPS35
2596586,55737,VPS35,5071,PARK2
2596587,55737,VPS35,5071,PARK2
2618563,120892,LRRK2,4137,MAPT
2630381,7345,UCHL1,11315,PARK7
2632515,120892,LRRK2,4137,MAPT
2632518,4137,MAPT,120892,LRRK2
2632522,120892,LRRK2,4137,MAPT
2693038,120892,LRRK2,7345,UCHL1
2693134,120892,LRRK2,11315,PARK7
2756742,65018,PINK1,25793,FBXO7
2756743,65018,PINK1,25793,FBXO7
2756744,65018,PINK1,25793,FBXO7
2756745,25793,FBXO7,65018,PINK1
2756748,25793,FBXO7,65018,PINK1
2777521,6622,SNCA,11315,PARK7
2777522,11315,PARK7,6622,SNCA
2782947,5071,PARK2,4137,MAPT
2890902,120892,LRRK2,8867,SYNJ1
2909547,120892,LRRK2,8867,SYNJ1
3012822,7345,UCHL1,5071,PARK2
3012823,7345,UCHL1,6622,SNCA
3025689,65018,PINK1,5071,PARK2
3201051,4137,MAPT,6622,SNCA
3203043,65018,PINK1,5071,PARK2
3388044,2629,GBA,54832,VPS13C
3401926,65018,PINK1,5071,PARK2
3402343,5071,PARK2,1981,EIF4G1
3402394,5071,PARK2,25793,FBXO7
3403351,5071,PARK2,7345,UCHL1
3403382,5071,PARK2,55737,VPS35
3410978,65018,PINK1,5071,PARK2
3448686,1981,EIF4G1,26058,GIGYF2
