Interaction_ID,Gene_A_ID,GeneName,Gene_B_ID,GeneName
301299,6622,SNCA,5071,PARK2
2208652,6622,SNCA,65018,PINK1
288274,6622,SNCA,9627,SNCAIP
736894,6622,SNCA,2629,GBA
735195,6622,SNCA,11315,PARK7
283185,6622,SNCA,4137,MAPT
449006,6622,SNCA,120892,LRRK2
726030,6622,SNCA,351,APP
2691898,6622,SNCA,348,APOE
2752988,6622,SNCA,8878,SQSTM1
718423,5071,PARK2,65018,PINK1
317319,5071,PARK2,9627,SNCAIP
608394,5071,PARK2,2629,GBA
1050664,5071,PARK2,7345,UCHL1
3402343,5071,PARK2,1981,EIF4G1
886710,5071,PARK2,25793,FBXO7
471162,5071,PARK2,11315,PARK7
2782947,5071,PARK2,4137,MAPT
2596585,5071,PARK2,55737,VPS35
445774,5071,PARK2,120892,LRRK2
545403,5071,PARK2,27429,HTRA2
3464322,5071,PARK2,5728,PTEN
555980,5071,PARK2,351,APP
855910,5071,PARK2,8878,SQSTM1
3402509,5071,PARK2,2896,GRN
2756742,65018,PINK1,25793,FBXO7
724182,65018,PINK1,11315,PARK7
725490,65018,PINK1,27429,HTRA2
2635264,65018,PINK1,8878,SQSTM1
739706,84286,TMEM175,351,APP
3388044,2629,GBA,54832,VPS13C
2630381,7345,UCHL1,11315,PARK7
3448686,1981,EIF4G1,26058,GIGYF2
728555,11315,PARK7,5728,PTEN
2497844,11315,PARK7,8878,SQSTM1
2632518,4137,MAPT,120892,LRRK2
2811458,4137,MAPT,351,APP
303403,4137,MAPT,348,APOE
669252,4137,MAPT,8878,SQSTM1
2461312,25793,FBXO7,51142,CHCHD2
739783,55737,VPS35,351,APP
2890902,120892,LRRK2,8867,SYNJ1
2890147,120892,LRRK2,351,APP
2208448,120892,LRRK2,8878,SQSTM1
2690530,351,APP,348,APOE