Interactor_A,Interactor_B
PD,SNCA
PD,PRKN
PD,PINK1
PD,SNCAIP
PD,TMEM175
PD,DNAJC13
PD,GBA
PD,TMEM230
PD,UCHL1
PD,EIF4G1
PD,ATP13A2
PD,CHCHD2
PD,PRKAG2
PD,GIGYF2
PD,FBXO7
PD,DNAJC6
PD,PLA2G6
PD,PARK7
PD,MAPT
PD,VPS35
PD,LRRK2
PD,VPS13C
PD,SYNJ1
PD,HTRA2
SNCA,PRKN
SNCA,PINK1
SNCA,SNCAIP
SNCA,GBA
SNCA,UCHL1
SNCA,PARK7
SNCA,MAPT
SNCA,LRRK2
PRKN,SNCA
PRKN,PINK1
PRKN,SNCAIP
PRKN,GBA
PRKN,UCHL1
PRKN,EIF4G1
PRKN,FBXO7
PRKN,PARK7
PRKN,MAPT
PRKN,VPS35
PRKN,LRRK2
PRKN,VPS13C
PRKN,HTRA2
PINK1,SNCA
PINK1,PRKN
PINK1,SNCAIP
PINK1,FBXO7
PINK1,PARK7
PINK1,HTRA2
SNCAIP,SNCA
SNCAIP,PRKN
SNCAIP,PINK1
GBA,SNCA
GBA,PRKN
GBA,VPS13C
UCHL1,SNCA
UCHL1,PRKN
UCHL1,PARK7
UCHL1,LRRK2
EIF4G1,GIGYF2
EIF4G1,FBXO7
EIF4G1,HTRA2
CHCHD2,FBXO7
GIGYF2,EIF4G1
FBXO7,PRKN
FBXO7,PINK1
FBXO7,EIF4G1
FBXO7,CHCHD2
PARK7,SNCA
PARK7,PRKN
PARK7,PINK1
PARK7,UCHL1
PARK7,LRRK2
MAPT,SNCA
MAPT,PRKN
MAPT,LRRK2
VPS35,PRKN
LRRK2,SNCA
LRRK2,PRKN
LRRK2,UCHL1
LRRK2,PARK7
LRRK2,MAPT
LRRK2,SYNJ1
VPS13C,PRKN
VPS13C,GBA
SYNJ1,LRRK2
HTRA2,PRKN
HTRA2,PINK1
HTRA2,EIF4G1