Interaction_ID,Interactor_A,BioGRID_ID_A,Interactor_B,BioGRID_ID_B
,PD,0,SNCA,
,PD,0,PRKN,
,PD,0,PINK1,
,PD,0,SNCAIP,
,PD,0,TMEM175,
,PD,0,DNAJC13,
,PD,0,GBA,
,PD,0,TMEM230,
,PD,0,UCHL1,
,PD,0,EIF4G1,
,PD,0,ATP13A2,
,PD,0,CHCHD2,
,PD,0,PRKAG2,
,PD,0,GIGYF2,
,PD,0,FBXO7,
,PD,0,DNAJC6,
,PD,0,PLA2G6,
,PD,0,PARK7,
,PD,0,MAPT,
,PD,0,VPS35,
,PD,0,LRRK2,
,PD,0,VPS13C,
,PD,0,SYNJ1,
,PD,0,HTRA2,
,SNCA,,PRKN,
,SNCA,,PINK1,
,SNCA,,SNCAIP,
,SNCA,,GBA,
,SNCA,,UCHL1,
,SNCA,,PARK7,
,SNCA,,MAPT,
,SNCA,,LRRK2,
,PRKN,,PINK1,
,PRKN,,SNCAIP,
,PRKN,,GBA,
,PRKN,,UCHL1,
,PRKN,,EIF4G1,
,PRKN,,FBXO7,
,PRKN,,PARK7,
,PRKN,,MAPT,
,PRKN,,VPS35,
,PRKN,,LRRK2,
,PRKN,,VPS13C,
,PRKN,,HTRA2,
,PINK1,,SNCAIP,
,PINK1,,FBXO7,
,PINK1,,PARK7,
,PINK1,,HTRA2,
,GBA,,VPS13C,
,UCHL1,,PARK7,
,UCHL1,,LRRK2,
,EIF4G1,,GIGYF2,
,EIF4G1,,FBXO7,
,EIF4G1,,HTRA2,
,CHCHD2,,FBXO7,
,PARK7,,LRRK2,
,MAPT,,LRRK2,
,LRRK2,,SYNJ1,